City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapaa,22.0752,-159.319,73.4,68,1,8.05,US,2021-03-23 19:13:49
1,Puerto Ayora,-0.7393,-90.3518,82.99,78,40,6.91,EC,2021-03-23 19:14:16
2,Ushuaia,-54.8,-68.3,48.2,93,75,9.22,AR,2021-03-23 19:11:30
3,Samarkand,39.6542,66.9597,44.6,93,75,13.8,UZ,2021-03-23 19:16:08
4,Vangaindrano,-23.35,47.6,74.3,96,100,7.23,MG,2021-03-23 19:16:08
5,Saskylakh,71.9167,114.0833,-39.77,100,63,5.57,RU,2021-03-23 19:16:09
6,Carutapera,-1.195,-46.02,81.36,81,81,7.72,BR,2021-03-23 19:16:09
7,Mar Del Plata,-38.0023,-57.5575,75.2,53,20,10.36,AR,2021-03-23 19:12:56
8,Praia Da Vitoria,38.7333,-27.0667,59.0,63,75,13.29,PT,2021-03-23 19:12:57
9,Xinyu,27.8043,114.9334,48.06,80,39,3.11,CN,2021-03-23 19:16:09
10,Shorewood,41.52,-88.2017,64.4,48,90,17.27,US,2021-03-23 19:16:10
11,Haverfordwest,51.8017,-4.9691,50.0,92,100,15.99,GB,2021-03-23 19:16:10
12,Cabo San Lucas,22.8909,-109.9124,73.4,43,75,11.5,MX,2021-03-23 19:15:05
13,Notodden,59.5594,9.2585,51.8,54,0,8.05,NO,2021-03-23 19:16:10
14,Gat,31.61,34.7642,66.0,100,91,13.65,IL,2021-03-23 19:12:05
15,Albany,42.6001,-73.9662,68.0,10,54,1.01,US,2021-03-23 19:16:11
16,Punta Arenas,-53.15,-70.9167,55.4,54,40,13.8,CL,2021-03-23 19:12:18
17,Aksu,41.1231,80.2644,50.79,37,100,1.83,CN,2021-03-23 19:16:11
18,Mantua,45.1667,10.7833,48.0,51,10,1.01,IT,2021-03-23 19:16:11
19,Chokurdakh,70.6333,147.9167,-10.48,94,100,12.57,RU,2021-03-23 19:12:15
20,Olds,51.7834,-114.102,39.2,35,45,10.36,CA,2021-03-23 19:16:11
21,Ketchikan,55.3422,-131.6461,42.8,100,90,17.27,US,2021-03-23 19:16:12
22,Bluff,-46.6,168.3333,53.01,98,92,1.01,NZ,2021-03-23 19:16:12
23,Wakefield,53.6809,-1.499,52.0,65,96,8.99,GB,2021-03-23 19:16:12
24,Partinico,38.0439,13.12,51.8,54,20,20.71,IT,2021-03-23 19:16:13
25,Arroyos Y Esteros,-25.0667,-57.1,86.0,62,20,2.3,PY,2021-03-23 19:16:13
26,Rikitea,-23.1203,-134.9692,79.21,76,23,10.38,PF,2021-03-23 19:11:53
27,San Ignacio,17.1561,-89.0714,96.8,41,0,6.91,BZ,2021-03-23 19:16:13
28,Verkhnyaya Inta,65.9811,60.3094,17.56,95,100,10.07,RU,2021-03-23 19:16:14
29,Bereda,43.2686,-7.5406,51.01,89,14,5.99,ES,2021-03-23 19:16:14
30,Morehead,37.2711,-87.1764,64.4,52,90,16.11,US,2021-03-23 19:16:14
31,Katangli,51.7102,143.2326,0.43,77,4,12.37,RU,2021-03-23 19:16:15
32,Hobart,-42.8794,147.3294,63.0,88,90,5.75,AU,2021-03-23 19:13:51
33,Busselton,-33.65,115.3333,50.0,95,0,8.39,AU,2021-03-23 19:16:15
34,Sakakah,29.9697,40.2064,87.8,11,4,14.97,SA,2021-03-23 19:16:15
35,Chuy,-33.6971,-53.4616,74.66,58,18,9.24,UY,2021-03-23 19:16:16
36,Pevek,69.7008,170.3133,1.26,82,100,5.68,RU,2021-03-23 19:11:55
37,Saint-Philippe,-21.3585,55.7679,78.8,89,20,3.44,RE,2021-03-23 19:16:16
